Name,Country Name,Latitude,Longitude,Layer,Harbor Type
MUSKEGON - United States,United States,43.2333333333333,-86.2666666666667,PORT - Small,River Natural
GRAND HAVEN - United States,United States,43.0666666666667,-86.2333333333333,PORT - Small,River Natural
HOLLAND - United States,United States,42.7833333333333,-86.1333333333333,PORT - Small,River Natural
SAUGATUCK - United States,United States,42.6666666666667,-86.2,PORT - Very Small,River Natural
SOUTH HAVEN - United States,United States,42.4,-86.2833333333333,PORT - Very Small,River Natural
ST JOSEPH - United States,United States,42.1166666666667,-86.4833333333333,PORT - Small,River Natural
MICHIGAN CITY - United States,United States,41.7333333333333,-86.9,PORT - Small,Coastal Breakwater
GARY - United States,United States,41.6166666666667,-87.3333333333333,PORT - Medium,Coastal Breakwater
BUFFINGTON - United States,United States,41.6333333333333,-87.4166666666667,PORT - Medium,Coastal Breakwater
INDIANA HARBOR - United States,United States,41.6666666666667,-87.4333333333333,PORT - Medium,Coastal Breakwater
CALUMET HARBOR - United States,United States,41.7333333333333,-87.5166666666667,PORT - Medium,Coastal Breakwater
CHICAGO - United States,United States,41.8833333333333,-87.6,PORT - Medium,Coastal Tide Gate
WILMETTE - United States,United States,42.0833333333333,-87.6833333333333,PORT - Very Small,Coastal Breakwater
GREAT LAKES - United States,United States,42.3,-87.8333333333333,PORT - Very Small,Coastal Breakwater
WAUKEGAN - United States,United States,42.3666666666667,-87.8166666666667,PORT - Small,Coastal Breakwater
KENOSHA - United States,United States,42.5833333333333,-87.8166666666667,PORT - Very Small,Coastal Breakwater
RACINE - United States,United States,42.7333333333333,-87.7833333333333,PORT - Small,Coastal Breakwater
MILWAUKEE - United States,United States,43.0333333333333,-87.8833333333333,PORT - Medium,River Natural
PORT WASHINGTON - United States,United States,43.3833333333333,-87.8666666666667,PORT - Small,Coastal Breakwater
SHEBOYGAN - United States,United States,43.75,-87.7,PORT - Small,River Natural
MANITOWOC - United States,United States,44.1,-87.65,PORT - Medium,River Natural
TWO RIVERS - United States,United States,44.15,-87.5666666666667,PORT - Very Small,Coastal Breakwater
KEWAUNEE - United States,United States,44.4666666666667,-87.5,PORT - Very Small,Coastal Breakwater
ALGOMA - United States,United States,44.6,-87.4333333333333,PORT - Very Small,River Natural
STURGEON BAY - United States,United States,44.8333333333333,-87.3833333333333,PORT - Small,Lake or Canal
GREEN BAY - United States,United States,44.5166666666667,-88.0166666666667,PORT - Small,River Natural
DEPERE - United States,United States,44.45,-88.0666666666667,PORT - Very Small,River Natural
KAUKAUNA - United States,United States,44.2833333333333,-88.2666666666667,PORT - Very Small,River Tide Gate
OCONTO - United States,United States,44.9,-87.8333333333333,PORT - Very Small,River Natural
MARINETTE - United States,United States,45.0833333333333,-87.6,PORT - Small,River Natural
MENOMINEE - United States,United States,45.1,-87.6,PORT - Small,River Natural
ESCANABA - United States,United States,45.7666666666667,-87.05,PORT - Small,Coastal Natural
GLADSTONE - United States,United States,45.85,-87.0166666666667,PORT - Very Small,Coastal Natural
NAHMA - United States,United States,45.8333333333333,-86.6666666666667,PORT - Very Small,Coastal Natural
MANISTIQUE - United States,United States,45.95,-86.25,PORT - Very Small,Coastal Breakwater
PORT INLAND - United States,United States,45.9666666666667,-85.8666666666667,PORT - Very Small,Coastal Breakwater
GOULAIS BAY - Canada,Canada,46.7333333333333,-84.5,PORT - Very Small,Coastal Natural
BATCHAWANA BAY - Canada,Canada,46.9166666666667,-84.6,PORT - Very Small,Coastal Natural
GARGANTUA - Canada,Canada,47.5666666666667,-84.9666666666667,PORT - Very Small,Coastal Natural
MICHIPICOTEN - Canada,Canada,47.9666666666667,-84.9,PORT - Very Small,Coastal Natural
QUEBEC HARBOUR - Canada,Canada,47.7,-85.8,PORT - Very Small,Coastal Natural
HERON BAY - Canada,Canada,48.65,-86.3166666666667,PORT - Very Small,Coastal Natural
THUNDER BAY - Canada,Canada,48.4,-89.2333333333333,PORT - Medium,Coastal Breakwater
GRAND MARAIS - United States,United States,46.6833333333333,-85.9666666666667,PORT - Very Small,Coastal Breakwater
MUNISING - United States,United States,46.4166666666667,-86.65,PORT - Very Small,Coastal Natural
MARQUETTE - United States,United States,46.5333333333333,-87.3833333333333,PORT - Small,Coastal Breakwater
PRESQUE ISLE - United States,United States,46.5666666666667,-87.3833333333333,PORT - Very Small,Coastal Breakwater
L ANSE - United States,United States,46.7666666666667,-88.4666666666667,PORT - Very Small,Coastal Natural
BARAGA - United States,United States,46.7833333333333,-88.4833333333333,PORT - Very Small,Coastal Natural
COPPER HARBOR - United States,United States,47.4666666666667,-87.8666666666667,PORT - Very Small,Coastal Natural
EAGLE HARBOR - United States,United States,47.4666666666667,-88.1666666666667,PORT - Very Small,Coastal Natural
HOUGHTON - United States,United States,47.1166666666667,-88.5666666666667,PORT - Small,Lake or Canal
ONTONAGON - United States,United States,46.8833333333333,-89.3333333333333,PORT - Very Small,River Natural
ASHLAND - United States,United States,46.6,-90.8666666666667,PORT - Small,Coastal Natural
WASHBURN - United States,United States,46.6666666666667,-90.8833333333333,PORT - Very Small,Coastal Natural
BAYFIELD - United States,United States,46.8,-90.8166666666667,PORT - Very Small,Coastal Natural
LA POINTE - United States,United States,46.7833333333333,-90.7833333333333,PORT - Very Small,Coastal Natural
CORNUCOPIA - United States,United States,46.8666666666667,-91.1,PORT - Very Small,River Basin
PORT WING - United States,United States,46.7833333333333,-91.3833333333333,PORT - Very Small,Coastal Breakwater
SUPERIOR - United States,United States,46.7333333333333,-92.0666666666667,PORT - Medium,Coastal Breakwater
DULUTH - United States,United States,46.7666666666667,-92.1,PORT - Medium,Coastal Breakwater
TWO HARBORS - United States,United States,47.0166666666667,-91.65,PORT - Small,Coastal Breakwater
GRAND MARAIS - United States,United States,47.75,-90.3333333333333,PORT - Very Small,Coastal Natural
WASHINGTON HARBOR - United States,United States,47.9166666666667,-89.15,PORT - Very Small,Coastal Natural
GASPE - Canada,Canada,48.8333333333333,-64.4833333333333,PORT - Small,Coastal Natural
DOUGLASTOWN - Canada,Canada,48.7666666666667,-64.3833333333333,PORT - Very Small,Open Roadstead
CHANDLER - Canada,Canada,48.3666666666667,-64.6666666666667,PORT - Small,Coastal Breakwater
DALHOUSIE - Canada,Canada,48.0666666666667,-66.3666666666667,PORT - Small,Open Roadstead
CARAQUET - Canada,Canada,47.8,-64.9333333333333,PORT - Small,Coastal Natural
SHIPPEGAN - Canada,Canada,47.75,-64.7,PORT - Very Small,Coastal Natural
SHEDIAC - Canada,Canada,46.2166666666667,-64.55,PORT - Very Small,Coastal Natural
ALBERTON - Canada,Canada,46.8,-64.0666666666667,PORT - Very Small,Coastal Natural
SOURIS HARBOUR - Canada,Canada,46.35,-62.25,PORT - Small,Coastal Breakwater
GEORGETOWN - Canada,Canada,46.1833333333333,-62.5333333333333,PORT - Small,River Natural
CHARLOTTETOWN - Canada,Canada,46.2333333333333,-63.1333333333333,PORT - Small,Coastal Natural
SUMMERSIDE - Canada,Canada,46.4,-63.7833333333333,PORT - Small,Coastal Natural
PICTOU - Canada,Canada,45.6666666666667,-62.7166666666667,PORT - Small,Coastal Natural
PORT HAWKESBURY - Canada,Canada,45.6166666666667,-61.3666666666667,PORT - Very Small,Coastal Natural
PORT HASTINGS - Canada,Canada,45.65,-61.4,PORT - Very Small,Coastal Natural
CHETICAMP - Canada,Canada,46.6333333333333,-61,PORT - Very Small,Coastal Natural
WHYCOCOMAGH - Canada,Canada,45.9666666666667,-61.1333333333333,PORT - Very Small,Coastal Natural
GRAND NARROWS - Canada,Canada,45.95,-60.7833333333333,PORT - Very Small,Coastal Natural
LITTLE BRAS D OR - Canada,Canada,46.25,-60.3,PORT - Very Small,Coastal Natural
NORTH SYDNEY - Canada,Canada,46.2166666666667,-60.25,PORT - Small,Coastal Natural
SYDNEY - Canada,Canada,46.15,-60.2,PORT - Medium,Coastal Natural
LOUISBURG - Canada,Canada,45.9166666666667,-59.9666666666667,PORT - Very Small,Coastal Natural
ARICHAT - Canada,Canada,45.5166666666667,-61.0166666666667,PORT - Very Small,Coastal Natural
GUYSBOROUGH - Canada,Canada,45.4,-61.5,PORT - Very Small,Coastal Natural
CANSO - Canada,Canada,45.3333333333333,-61,PORT - Very Small,Coastal Natural
WHITEHAVEN HARBOR - Canada,Canada,45.2333333333333,-61.1833333333333,PORT - Very Small,Coastal Natural
GOLDSBORO - Canada,Canada,45.1833333333333,-61.65,PORT - Very Small,Coastal Natural
STORMONT - Canada,Canada,45.2166666666667,-61.7166666666667,PORT - Very Small,Coastal Natural
SONORA - Canada,Canada,45.0666666666667,-61.9166666666667,PORT - Very Small,River Natural
MUSQUODOBOIT HARBOUR - Canada,Canada,44.7833333333333,-63.15,PORT - Very Small,Coastal Natural
HALIFAX - Canada,Canada,44.65,-63.5833333333333,PORT - Large,Coastal Natural
SAMBRO - Canada,Canada,44.4666666666667,-63.6,PORT - Very Small,Coastal Natural
LUNENBURG - Canada,Canada,44.3833333333333,-64.3166666666667,PORT - Small,Coastal Natural
LIVERPOOL (BROOKLYN) - Canada,Canada,44.0333333333333,-64.65,PORT - Small,Coastal Natural
LOCKEPORT - Canada,Canada,43.7,-65.1166666666667,PORT - Very Small,Coastal Breakwater
YARMOUTH - Canada,Canada,43.8333333333333,-66.1166666666667,PORT - Small,Coastal Natural
DIGBY - Canada,Canada,44.6166666666667,-65.7666666666667,PORT - Small,Coastal Natural
ANNAPOLIS ROYAL - Canada,Canada,44.75,-65.5166666666667,PORT - Very Small,River Natural
WINDSOR - Canada,Canada,45,-64.15,PORT - Very Small,River Natural
CANAPORT (ST. JOHN) - Canada,Canada,45.2,-65.9833333333333,PORT - Large,Open Roadstead
ST JOHN - Canada,Canada,45.2666666666667,-66.05,PORT - Medium,Coastal Breakwater
PORT BAYSIDE NB - Canada,Canada,45.15,-67.1333333333333,PORT - Very Small,River Natural
EASTPORT - United States,United States,44.9,-66.9833333333333,PORT - Very Small,Coastal Natural
LUBEC - United States,United States,44.8666666666667,-66.9833333333333,PORT - Very Small,Coastal Natural
MACHIASPORT - United States,United States,44.7,-67.4,PORT - Very Small,Coastal Natural
MACHIAS - United States,United States,44.7166666666667,-67.4666666666667,PORT - Very Small,River Natural
JONESPORT - United States,United States,44.5333333333333,-67.6166666666667,PORT - Very Small,Coastal Natural
WYMAN - United States,United States,44.5166666666667,-67.8666666666667,PORT - Very Small,Coastal Natural
MILBRIDGE - United States,United States,44.5333333333333,-67.8833333333333,PORT - Very Small,River Natural
COREA - United States,United States,44.4,-67.9666666666667,PORT - Very Small,Coastal Natural
WINTER HARBOR - United States,United States,44.3833333333333,-68.0833333333333,PORT - Very Small,Coastal Natural
SORRENTO - United States,United States,44.4666666666667,-68.1833333333333,PORT - Very Small,Coastal Natural
BAR HARBOR - United States,United States,44.3833333333333,-68.2,PORT - Very Small,Coastal Natural
NORTHEAST HARBOR - United States,United States,44.3,-68.2833333333333,PORT - Very Small,Coastal Natural
SOUTHWEST HARBOR - United States,United States,44.2833333333333,-68.3166666666667,PORT - Very Small,Coastal Natural
MOUNT DESERT - United States,United States,44.3666666666667,-68.3333333333333,PORT - Very Small,Coastal Natural
FRENCHBORO - United States,United States,44.1166666666667,-68.3666666666667,PORT - Very Small,Coastal Natural
MINTURN - United States,United States,44.15,-68.45,PORT - Very Small,Coastal Natural
SWANS ISLAND - United States,United States,44.1333333333333,-68.45,PORT - Very Small,Coastal Natural
BASS HARBOR - United States,United States,44.2333333333333,-68.35,PORT - Very Small,Coastal Natural
