MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
244850240,2023-03-24 08:12:28.469076+00:00,2.4,296,5.849825,53.10061666666666,0
367186370,2023-03-24 08:12:28.485691+00:00,0,170.4,-74.12038333333334,40.70648333333334,12
258092000,2023-03-24 08:12:28.524302+00:00,23.3,117.3,8.620971666666666,57.93033166666667,0
338302000,2023-03-24 08:12:28.525745+00:00,13.2,183.6,-79.97959166666666,25.933339999999998,0
244710523,2023-03-24 08:12:28.528558+00:00,0,360,4.910375,52.37853166666666,0
211664760,2023-03-24 08:12:28.530981+00:00,6.6,156,6.730088333333333,51.21239166666667,0
375144000,2023-03-24 08:12:28.533095+00:00,0,292.4,-76.44605666666666,24.172181666666667,10
244670200,2023-03-24 08:12:28.535508+00:00,9.6,308.6,5.8655566666666665,51.75807,0
244850381,2023-03-24 08:12:28.536180+00:00,0,360,5.451765,53.176856666666666,15
244010988,2023-03-24 08:12:28.562741+00:00,6.7,104.9,5.5651150000000005,53.182945000000004,0
245217000,2023-03-24 08:12:28.563394+00:00,0.9,103.3,4.582026666666667,52.46899,0
636020532,2023-03-24 08:12:28.564566+00:00,15.7,12.1,3.880978333333333,52.389761666666665,0
232007052,2023-03-24 08:12:28.566529+00:00,0.1,57.3,9.282331666666666,44.06306166666666,3
232059000,2023-03-24 08:12:28.570276+00:00,0,289.5,7.080066666666666,43.56453333333333,5
314549000,2023-03-24 08:12:28.571601+00:00,0,271.9,4.291686666666666,51.35333833333333,5
244700273,2023-03-24 08:12:28.572603+00:00,0,31.9,5.5236833333333335,52.57082333333334,0
211869400,2023-03-24 08:12:28.573146+00:00,0.1,360,10.000395,53.527375,5
247136000,2023-03-24 08:12:28.574440+00:00,21.1,349.7,13.357156666666667,38.63497333333333,0
240439300,2023-03-24 08:12:28.586619+00:00,0,360,23.666811666666668,37.938365,5
244775000,2023-03-24 08:12:28.588691+00:00,0,121,5.0320849999999995,52.93774,7
351481000,2023-03-24 08:12:28.590550+00:00,0,268.7,-16.246251666666666,28.458508333333334,3
244150089,2023-03-24 08:12:28.590981+00:00,0,183.7,4.817043333333333,52.405948333333335,0
567274000,2023-03-24 08:12:28.593374+00:00,0.2,161,4.273833333333333,51.88216666666666,5
227138800,2023-03-24 08:12:28.622733+00:00,5.9,156.7,-0.2810333333333333,49.841168333333336,15
244020495,2023-03-24 08:12:28.627058+00:00,0,360,6.08048,52.642871666666665,15
244860172,2023-03-24 08:12:28.629743+00:00,0.1,151.8,5.358645,52.88751833333333,0
257054580,2023-03-24 08:12:28.630142+00:00,11.8,219.2,20.031358333333333,69.91578,0
257294800,2023-03-24 08:12:28.630946+00:00,0,360,22.349416666666666,70.24223833333333,0
257079200,2023-03-24 08:12:28.631299+00:00,5.2,190.9,14.560431666666666,68.224475,0
257089080,2023-03-24 08:12:28.654572+00:00,0,142.2,8.693726666666667,63.64370666666667,5
259200000,2023-03-24 08:12:28.655588+00:00,2.2,302.9,11.442415,67.33575,0
259130000,2023-03-24 08:12:28.656508+00:00,0,94.9,8.828335000000001,63.75824333333333,0
258308000,2023-03-24 08:12:28.656931+00:00,0,66.5,5.2161333333333335,60.09005,7
257098320,2023-03-24 08:12:28.657384+00:00,6.6,223.6,16.426571666666668,69.42959666666667,0
314260000,2023-03-24 08:12:28.657917+00:00,9.6,189.3,4.938725000000001,57.74629,0
257340400,2023-03-24 08:12:28.658923+00:00,0,302,9.521778333333334,63.645266666666664,0
257101030,2023-03-24 08:12:28.673600+00:00,0,62.5,18.752903333333332,69.67449666666667,7
257309400,2023-03-24 08:12:28.676215+00:00,0,333.6,5.103386666666666,60.437875,0
